"year","state","month","number","date"
2002,"Acre","Mar�o",0,2002-01-01
2003,"Acre","Mar�o",0,2003-01-01
2004,"Acre","Mar�o",0,2004-01-01
2005,"Acre","Mar�o",3,2005-01-01
2006,"Acre","Mar�o",0,2006-01-01
2007,"Acre","Mar�o",2,2007-01-01
2008,"Acre","Mar�o",0,2008-01-01
2009,"Acre","Mar�o",1,2009-01-01
2010,"Acre","Mar�o",0,2010-01-01
2011,"Acre","Mar�o",0,2011-01-01
2012,"Acre","Mar�o",1,2012-01-01
2013,"Acre","Mar�o",2,2013-01-01
2014,"Acre","Mar�o",1,2014-01-01
2015,"Acre","Mar�o",2,2015-01-01
2016,"Acre","Mar�o",0,2016-01-01
2017,"Acre","Mar�o",0,2017-01-01
1998,"Acre","Abril",0,1998-01-01
1999,"Acre","Abril",0,1999-01-01
2000,"Acre","Abril",1,2000-01-01
2001,"Acre","Abril",0,2001-01-01
2002,"Acre","Abril",0,2002-01-01
2003,"Acre","Abril",1,2003-01-01
2004,"Acre","Abril",2,2004-01-01
2005,"Acre","Abril",1,2005-01-01
2006,"Acre","Abril",0,2006-01-01
2007,"Acre","Abril",0,2007-01-01
2008,"Acre","Abril",0,2008-01-01
2009,"Acre","Abril",0,2009-01-01
2010,"Acre","Abril",3,2010-01-01
2011,"Acre","Abril",2,2011-01-01
2012,"Acre","Abril",1,2012-01-01
2013,"Acre","Abril",19,2013-01-01
2014,"Acre","Abril",7,2014-01-01
2015,"Acre","Abril",3,2015-01-01
2016,"Acre","Abril",0,2016-01-01
2017,"Acre","Abril",1,2017-01-01
1998,"Acre","Maio",0,1998-01-01
1999,"Acre","Maio",0,1999-01-01
2000,"Acre","Maio",1,2000-01-01
2001,"Acre","Maio",0,2001-01-01
2002,"Acre","Maio",0,2002-01-01
2003,"Acre","Maio",6,2003-01-01
2004,"Acre","Maio",7,2004-01-01
2005,"Acre","Maio",2,2005-01-01
2006,"Acre","Maio",8,2006-01-01
2007,"Acre","Maio",1,2007-01-01
2008,"Acre","Maio",0,2008-01-01
2009,"Acre","Maio",3,2009-01-01
2010,"Acre","Maio",9,2010-01-01
2011,"Acre","Maio",3,2011-01-01
2012,"Acre","Maio",3,2012-01-01
2013,"Acre","Maio",4,2013-01-01
2014,"Acre","Maio",1,2014-01-01
2015,"Acre","Maio",2,2015-01-01
2016,"Acre","Maio",21,2016-01-01
2017,"Acre","Maio",10,2017-01-01
1998,"Acre","Junho",3,1998-01-01
1999,"Acre","Junho",0,1999-01-01
2000,"Acre","Junho",1,2000-01-01
2001,"Acre","Junho",1,2001-01-01
2002,"Acre","Junho",0,2002-01-01
2003,"Acre","Junho",0,2003-01-01
2004,"Acre","Junho",5,2004-01-01
2005,"Acre","Junho",27,2005-01-01
2006,"Acre","Junho",1,2006-01-01
2007,"Acre","Junho",4,2007-01-01
2008,"Acre","Junho",0,2008-01-01
2009,"Acre","Junho",0,2009-01-01
2010,"Acre","Junho",1,2010-01-01
2011,"Acre","Junho",10,2011-01-01
2012,"Acre","Junho",7,2012-01-01
2013,"Acre","Junho",8,2013-01-01
2014,"Acre","Junho",17,2014-01-01
2015,"Acre","Junho",40,2015-01-01
2016,"Acre","Junho",87,2016-01-01
2017,"Acre","Junho",45,2017-01-01
1998,"Acre","Julho",37,1998-01-01
1999,"Acre","Julho",1,1999-01-01
2000,"Acre","Julho",1,2000-01-01
2001,"Acre","Julho",3,2001-01-01
2002,"Acre","Julho",39,2002-01-01
2003,"Acre","Julho",168,2003-01-01
2004,"Acre","Julho",42,2004-01-01
2005,"Acre","Julho",368,2005-01-01
2006,"Acre","Julho",33,2006-01-01
2007,"Acre","Julho",29,2007-01-01
2008,"Acre","Julho",41,2008-01-01
2009,"Acre","Julho",31,2009-01-01
2010,"Acre","Julho",126,2010-01-01
2011,"Acre","Julho",93,2011-01-01
2012,"Acre","Julho",71,2012-01-01
2013,"Acre","Julho",54,2013-01-01
2014,"Acre","Julho",60,2014-01-01
2015,"Acre","Julho",109,2015-01-01
2016,"Acre","Julho",533,2016-01-01
2017,"Acre","Julho",457,2017-01-01
1998,"Acre","Agosto",130,1998-01-01
1999,"Acre","Agosto",63,1999-01-01
2000,"Acre","Agosto",136,2000-01-01
2001,"Acre","Agosto",396,2001-01-01
2002,"Acre","Agosto",728,2002-01-01
2003,"Acre","Agosto",1.976,2003-01-01
2004,"Acre","Agosto",645,2004-01-01
2005,"Acre","Agosto",4.198,2005-01-01
2006,"Acre","Agosto",839,2006-01-01
2007,"Acre","Agosto",960,2007-01-01
2008,"Acre","Agosto",445,2008-01-01
2009,"Acre","Agosto",194,2009-01-01
2010,"Acre","Agosto",1.682,2010-01-01
2011,"Acre","Agosto",425,2011-01-01
2012,"Acre","Agosto",739,2012-01-01
2013,"Acre","Agosto",679,2013-01-01
2014,"Acre","Agosto",1.1,2014-01-01
2015,"Acre","Agosto",1.397,2015-01-01
2016,"Acre","Agosto",2.188,2016-01-01
